Abrev,Lat,Long,Name,Zoom
AK,63.588753,-154.493062,Alaska,4
AL,32.318231,-86.902298,Alabama,7
AR,35.20105,-91.831833,Arkansas,7
AZ,34.048928,-111.093731,Arizona,7
CA,36.778261,-119.417932,California,6
CO,39.550051,-105.782067,Colorado,7
CT,41.603221,-72.7,Connecticut,9
DC,38.905985,-77.033418,District of Columbia,10
DE,39.15,-75.52767,Delaware,9
FL,27.664827,-81.515754,Florida,7
GA,32.157435,-82.907123,Georgia,7
HI,20.6,-157,Hawaii,8
IA,41.878003,-93.097702,Iowa,7
ID,44.068202,-114.742041,Idaho,7
IL,40,-89.398528,Illinois,7
IN,40,-85.602364,Indiana,7
KS,39.011902,-98.484246,Kansas,7
KY,37.839333,-84.270018,Kentucky,7
LA,31.244823,-92.145024,Louisiana,7
MA,42.407211,-71.382437,Massachusetts,8
MD,39.045755,-76.641271,Maryland,8
ME,45.253783,-69.445469,Maine,7
MI,44.7,-85.602364,Michigan,7
MN,46.729553,-94.6859,Minnesota,7
MO,37.964253,-91.831833,Missouri,7
MS,32.354668,-89.398528,Mississippi,7
MT,46.879682,-110.362566,Montana,7
NC,35.759573,-79.0193,North Carolina,7
ND,47.551493,-101.002012,North Dakota,7
NE,41.492537,-99.901813,Nebraska,7
NH,43.89,-71.572395,New Hampshire,8
NJ,40.058324,-74.405661,New Jersey,8
NM,34.97273,-105.032363,New Mexico,7
NV,38.80261,-116.419389,Nevada,7
NY,43.299428,-74.217933,New York,7
OH,40.417287,-82.907123,Ohio,7
OK,35.007752,-97.092877,Oklahoma,7
OR,44.3,-120.554201,Oregon,7
PA,41.203322,-77.194525,Pennsylvania,8
RI,41.580095,-71.477429,Rhode Island,9
SC,33.836081,-81.163725,South Carolina,7
SD,43.969515,-99.901813,South Dakota,7
TN,35.517491,-86.580447,Tennessee,7
TX,31.968599,-99.901813,Texas,6
UT,39.32098,-111.093731,Utah,7
VA,37.431573,-78.656894,Virginia,7
VT,44,-72.577841,Vermont,8
WA,47.751074,-120.740139,Washington,7
WI,44.8,-88.787868,Wisconsin,7
WV,38.597626,-80.454903,West Virginia,7
WY,43.075968,-107.290284,Wyoming,7